download,latency,upload,time
6.89 ,"40.651 ms
",3.31 ,"06:15:01
"
8.57 ,"41.645 ms
",3.07 ,"06:20:01
"
5.65 ," 44.99 ms
",3.51 ,"06:25:01
"
6.02 ,"40.484 ms
",2.94 ,"06:30:01
"
6.85 ,"41.667 ms
",2.74 ,"06:35:01
"
7.11 ,"40.208 ms
",3.72 ,"06:40:02
"
7.53 ,"41.407 ms
",2.84 ,"06:45:01
"
7.17 ,"40.948 ms
",3.34 ,"06:50:01
"
5.04 ,"39.514 ms
",3.38 ,"06:55:01
"
9.61 ,"37.638 ms
",3.68 ,"07:00:01
"
5.37 ," 47.05 ms
",2.87 ,"07:05:02
"
7.09 ,"44.025 ms
",3.66 ,"07:10:01
"
7.24 ,"45.433 ms
",2.76 ,"07:15:01
"
7.06 ,"40.775 ms
",3.81 ,"07:20:01
"
5.46 ,"54.178 ms
",4.48 ,"07:25:01
"
7.65 ,"40.525 ms
",2.96 ,"07:30:01
"
6.76 ,"40.903 ms
",5.21 ,"07:35:01
"
6.67 ,"42.222 ms
",5.49 ,"07:40:02
"
7.30 ,"40.039 ms
",3.58 ,"07:45:01
"
5.60 ,"41.003 ms
",3.58 ,"07:50:01
"
5.83 ,"39.996 ms
",3.61 ,"07:55:01
"
9.72 ," 40.69 ms
",3.84 ,"08:00:01
"
6.32 ,"41.843 ms
",3.45 ,"08:05:02
"
6.90 ,"40.921 ms
",3.64 ,"08:10:01
"
6.40 ,"42.114 ms
",3.11 ,"08:15:01
"
7.44 ,"41.615 ms
",3.54 ,"08:20:02
"
7.42 ,"40.163 ms
",2.82 ,"08:25:01
"
7.59 ,"44.189 ms
",2.86 ,"08:30:01
"
7.09 ,"44.587 ms
",2.95 ,"08:35:01
"
6.53 ,"41.143 ms
",3.27 ,"08:40:01
"
7.11 ," 40.91 ms
",2.98 ,"08:45:01
"
5.61 ,"41.196 ms
",3.29 ,"08:50:01
"
6.55 ,"43.666 ms
",2.85 ,"08:55:02
"
9.16 ,"38.673 ms
",3.44 ,"09:00:02
"
6.77 ,"41.887 ms
",3.35 ,"09:05:01
"
5.92 ,"40.845 ms
",2.66 ,"09:10:01
"
5.43 ,"46.168 ms
",2.84 ,"09:15:01
"
6.10 ,"41.646 ms
",4.14 ,"09:20:01
"
6.46 ,"41.519 ms
",4.61 ,"09:25:01
"
6.00 ,"41.366 ms
",3.50 ,"09:30:01
"
6.55 ,"45.403 ms
",2.83 ,"09:35:01
"
6.31 ,"41.235 ms
",2.59 ,"09:40:01
"
6.17 ,"52.783 ms
",2.36 ,"09:45:01
"
6.70 ,"45.108 ms
",3.70 ,"09:50:01
"
5.65 ,"43.639 ms
",5.19 ,"09:55:01
"
7.40 ,"41.831 ms
",3.65 ,"10:00:01
"
5.94 ,"45.899 ms
",3.04 ,"10:05:02
"
